application_date|Eightmile|Stuart_Zone|Colchuck_Zone|Core_Enchantment_Zone|Snow_Zone
06-20, Tue|15.4|15.8|3.8|2.0|18.2
06-21, Wed|20.0|21.4|4.9|1.2|18.2
06-22, Thu|22.2|9.4|2.9|1.8|8.3
06-23, Fri|7.7|5.6|0.7|1.3|4.5
06-24, Sat|8.0|5.9|1.7|1.6|8.7
06-25, Sun|30.0|13.3|4.2|3.3|13.9
06-26, Mon|12.5|12.5|2.4|1.8|11.4
06-27, Tue|22.2|14.3|3.6|2.4|9.1
06-28, Wed|22.2|21.4|3.2|2.4|10.0
06-29, Thu|25.0|12.5|2.9|1.0|6.8
06-30, Fri|6.7|4.3|1.2|0.6|4.6
07-01, Sat|2.4|3.9|1.0|0.6|3.5
07-02, Sun|15.8|10.8|3.4|1.6|6.0
07-03, Mon|12.5|14.3|2.4|1.6|11.1
07-04, Tue|33.3|20.0|5.1|2.6|14.8
07-05, Wed|11.1|8.6|2.0|1.4|6.2
07-06, Thu|5.6|7.9|2.2|1.1|6.2
07-07, Fri|6.1|3.1|1.0|0.7|3.7
